Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;24,50;24,50;23,90;23,90;"21/05/2025 16:25";CET;117137;'2838675,10;23,90;21/05/2025
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;280,00;280,00;274,10;280,00;"21/05/2025 14:07";CET;141;39409,20;280,00;21/05/2025
"SOLSTAD MARITIME";NO0013135368;SOMA;"Oslo Børs";NOK;23,255;23,90;23,13;23,29;"21/05/2025 16:26";CET;250807;'5834537,25;23,29;21/05/2025
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;40,95;40,95;40,10;40,30;"21/05/2025 16:25";CET;62053;'2508614,80;40,30;21/05/2025
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;194,48;197,12;193,50;197,00;"21/05/2025 16:32";CET;198063;'38837135,54;197,00;21/05/2025
"SPAREBANK 1 SØR-N";NO0010631567;SB1NO;"Oslo Børs";NOK;180,80;184,00;180,60;184,00;"21/05/2025 16:37";CET;196463;'35957797,80;184,00;21/05/2025
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;101,00;104,50;101,00;102,24;"21/05/2025 16:25";CET;67131;'6886043,52;102,24;21/05/2025
"SPAREBANKEN NORGE";NO0006000900;SBNOR;"Oslo Børs";NOK;152,00;156,52;151,52;156,52;"21/05/2025 16:25";CET;169709;'26337472,70;156,52;21/05/2025
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;72,08;72,23;71,79;72,18;"21/05/2025 16:25";CET;8024;'578155,93;72,18;21/05/2025
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;165,00;165,00;161,06;161,06;"21/05/2025 11:05";CET;44;7256,06;161,06;21/05/2025
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;183,70;187,78;183,50;187,78;"21/05/2025 16:28";CET;39335;'7319951,68;187,78;21/05/2025
"SPBK1 HELGELAND";NO0010029804;HELG;"Oslo Børs";NOK;163,00;170,90;163,00;170,90;"21/05/2025 16:14";CET;658;'108447,36;170,90;21/05/2025
"SPBK1 NORD-NORGE";NO0006000801;NONG;"Oslo Børs";NOK;146,00;149,06;145,42;148,90;"21/05/2025 16:27";CET;210234;'30884233,36;148,90;21/05/2025
"SPBK1 RINGERIKE";NO0006390400;RING;"Oslo Børs";NOK;376,00;376,00;376,00;376,00;"21/05/2025 12:25";CET;1138;'427888,00;376,00;21/05/2025
"SPBK1 ØSTFOLD AKE";NO0010285562;SOAG;"Oslo Børs";NOK;420,00;424,00;414,65;424,00;"21/05/2025 14:54";CET;7878;'3301662,65;424,00;21/05/2025
"SPIR GROUP";NO0012548819;SPIR;"Oslo Børs";NOK;9,62;9,62;9,40;9,40;"21/05/2025 16:28";CET;7510;72014,92;9,40;21/05/2025
STOLT-NIELSEN;BMG850801025;SNI;"Oslo Børs";NOK;257,50;257,50;252,00;255,00;"21/05/2025 16:29";CET;48759;'12401354,00;255,00;21/05/2025
STOREBRAND;NO0003053605;STB;"Oslo Børs";NOK;132,50;133,50;131,40;133,50;"21/05/2025 16:37";CET;812914;'108149920,70;133,50;21/05/2025
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;9,84;9,86;9,78;9,86;"21/05/2025 16:25";CET;25472;'249928,34;9,86;21/05/2025
"SUBSEA 7";LU0075646355;SUBC;"Oslo Børs";NOK;168,50;168,60;164,70;167,40;"21/05/2025 16:37";CET;312220;'51934434,40;167,40;21/05/2025
TECHSTEP;NO0012916131;TECH;"Oslo Børs";NOK;11,40;11,40;11,35;11,35;"21/05/2025 14:23";CET;14289;'162390,70;11,35;21/05/2025
"TEKNA HOLDING";NO0010951577;TEKNA;"Oslo Børs";NOK;5,74;5,74;5,50;5,52;"21/05/2025 16:14";CET;23691;'131728,84;5,52;21/05/2025
TELENOR;NO0010063308;TEL;"Oslo Børs";NOK;158,40;159,20;158,00;158,50;"21/05/2025 16:38";CET;1552434;'245172394,10;158,50;21/05/2025
TGS;NO0003078800;TGS;"Oslo Børs";NOK;83,00;83,00;81,75;81,95;"21/05/2025 16:25";CET;443629;'36392725,65;81,95;21/05/2025
"THOR MEDICAL";NO0010597883;TRMED;"Oslo Børs";NOK;2,495;2,53;2,475;2,495;"21/05/2025 16:25";CET;606785;'1513811,03;2,495;21/05/2025
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;184,50;184,50;183,10;184,10;"21/05/2025 16:25";CET;398;73173,50;184,10;21/05/2025
"TOMRA SYSTEMS";NO0012470089;TOM;"Oslo Børs";NOK;154,00;154,60;147,80;147,80;"21/05/2025 16:39";CET;328617;'48979287,60;147,80;21/05/2025
TREASURE;NO0010763550;TRE;"Oslo Børs";NOK;27,50;27,70;27,50;27,60;"21/05/2025 13:26";CET;1236;34096,60;27,60;21/05/2025
"TRØNDELAG SPBK";NO0010788268;TRSB;"Oslo Børs";NOK;120,00;120,00;120,00;120,00;"21/05/2025 14:46";CET;50;6000,00;120,00;21/05/2025
VEIDEKKE;NO0005806802;VEI;"Oslo Børs";NOK;151,40;153,40;151,40;153,20;"21/05/2025 16:29";CET;119442;'18270140,80;153,20;21/05/2025
"VEND SER. A";NO0003028904;VENDA;"Oslo Børs";NOK;343,80;352,00;343,60;349,20;"21/05/2025 16:39";CET;106135;'37031948,40;349,20;21/05/2025
"VEND SER. B";NO0010736879;VENDB;"Oslo Børs";NOK;320,00;335,20;320,00;332,80;"21/05/2025 16:25";CET;357735;'119206358,80;332,80;21/05/2025
"VISTIN PHARMA";NO0010734122;VISTN;"Oslo Børs";NOK;26,00;26,00;24,90;25,00;"21/05/2025 16:25";CET;14552;'365044,20;25,00;21/05/2025
"VOSS VEKSEL OGLAND";NO0003025009;VVL;"Oslo Børs";NOK;362,00;364,00;360,00;364,00;"21/05/2025 15:34";CET;334;'120852,00;364,00;21/05/2025
VOW;NO0010708068;VOW;"Oslo Børs";NOK;1,74;2,00;1,70;1,944;"21/05/2025 16:25";CET;8676715;'16354842,42;1,944;21/05/2025
"VÅR ENERGI";NO0011202772;VAR;"Oslo Børs";NOK;29,50;29,88;29,14;29,32;"21/05/2025 16:29";CET;4271694;'125742918,03;29,32;21/05/2025
"WALLENIUS WILHELMS";NO0010571680;WAWI;"Oslo Børs";NOK;83,90;83,95;81,25;81,80;"21/05/2025 16:39";CET;443590;'36364210,20;81,80;21/05/2025
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;25,60;25,60;25,20;25,20;"21/05/2025 16:25";CET;5332;'136167,40;25,20;21/05/2025
"WILH. WILHELMSEN A";NO0010571698;WWI;"Oslo Børs";NOK;417,50;417,50;412,00;416,00;"21/05/2025 16:25";CET;9791;'4066609,00;416,00;21/05/2025
"WILH. WILHELMSEN B";NO0010576010;WWIB;"Oslo Børs";NOK;395,00;401,00;395,00;399,50;"21/05/2025 16:25";CET;1058;'422337,00;399,50;21/05/2025
XXL;NO0013293142;XXL;"Oslo Børs";NOK;10,10;10,28;10,10;10,10;"21/05/2025 16:26";CET;3114;31556,58;10,10;21/05/2025
"YARA INTERNATIONAL";NO0010208051;YAR;"Oslo Børs";NOK;366,10;369,30;364,10;369,30;"21/05/2025 16:25";CET;552757;'203553543,80;369,30;21/05/2025
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;82,60;82,60;80,40;81,20;"21/05/2025 16:25";CET;9248;'749965,80;81,20;21/05/2025
ZAPTEC;NO0010713936;ZAP;"Oslo Børs";NOK;21,40;21,95;21,10;21,20;"21/05/2025 16:25";CET;342321;'7417469,25;21,20;21/05/2025
ZELLUNA;NO0013524942;ZLNA;"Oslo Børs";NOK;13,70;13,75;13,302;13,50;"21/05/2025 16:25";CET;11399;'154142,23;13,50;21/05/2025
